event_file,tag,step,wall_time,value
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,5200,1776532620.4146438,inf
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,5400,1776532685.8643482,19.575361251831055
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,5600,1776532764.6106591,22.4112548828125
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,5800,1776532829.3450365,9.89553451538086
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,6000,1776532906.997356,50.05597686767578
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,6200,1776532983.6527472,23.71607208251953
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,6400,1776533049.2750418,55.775123596191406
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,6600,1776533126.7318518,95.13788604736328
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,6800,1776533192.619376,84.38367462158203
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,7000,1776533269.900545,105.28787231445312
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,7200,1776533345.643916,7.584171772003174
/home/ubuntu/emonarrify/vits/logs/emonarrify_phase3_vits_from_pretrained_emotion_only_clean/events.out.tfevents.1776531015.ip-172-31-28-114.56666.0,grad_norm_d,7400,1776533410.92026,94.52394104003906
